Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Day,Day_Sort,Month,Month_sort,Age_Group,Quantity_Category,Weekday_flag
1,34,0,3,50,150,0,5,9,11,1,1,0
0,26,1,2,500,1000,1,1,3,2,1,1,0
1,50,2,1,30,30,0,5,4,1,3,2,0
1,37,1,1,500,500,3,7,8,5,2,2,1
1,30,0,2,50,100,2,6,8,5,1,1,1
0,45,0,1,30,30,5,2,0,4,3,2,0
1,46,1,2,25,50,1,1,7,3,3,1,0
1,30,2,4,25,100,6,3,3,2,1,0,0
1,63,2,2,300,600,6,3,2,12,4,1,0
0,52,1,4,50,200,2,6,10,10,3,0,1
1,23,1,2,50,100,5,2,3,2,0,1,0
1,35,0,3,25,75,1,1,10,10,2,1,0
1,22,2,3,500,1500,2,6,1,8,0,1,1
1,64,1,4,30,120,5,2,4,1,4,0,0
0,42,2,4,500,2000,1,1,4,1,2,0,0
1,19,1,3,500,1500,0,5,3,2,0,1,0
0,27,1,4,25,100,2,6,0,4,1,0,1
0,47,2,2,25,50,3,7,0,4,3,1,1
0,62,1,2,25,50,2,6,11,9,4,1,1
1,22,1,3,300,900,3,7,9,11,0,1,1
0,50,0,1,500,500,2,6,4,1,3,2,1
1,18,1,2,50,100,3,7,10,10,0,1,1
0,35,1,4,30,120,6,3,0,4,2,0,0
0,49,1,1,300,300,6,3,9,11,3,2,0
0,64,0,1,50,50,5,2,2,12,4,2,0
0,28,2,2,500,1000,2,6,10,10,1,1,1
0,38,0,2,25,50,4,4,1,8,2,1,0
0,43,0,1,500,500,3,7,0,4,2,2,1
0,42,2,1,30,30,0,5,1,8,2,2,0
0,39,0,3,300,900,3,7,10,10,2,1,1
1,44,2,4,300,1200,5,2,8,5,2,0,0
1,30,0,3,30,90,6,3,4,1,1,1,0
0,50,2,2,50,100,4,4,7,3,3,1,0
0,51,1,3,50,150,3,7,2,12,3,1,1
0,58,0,3,300,900,2,6,1,8,4,1,1
1,52,0,3,300,900,2,6,6,6,3,1,1
0,18,0,3,25,75,5,2,8,5,0,1,0
1,38,0,4,50,200,5,2,7,3,2,0,0
1,23,1,4,30,120,0,5,0,4,0,0,0
1,45,0,1,50,50,4,4,6,6,3,2,0
1,34,1,2,25,50,6,3,3,2,1,1,0
1,22,1,3,300,900,0,5,3,2,0,1,0
0,48,1,1,300,300,0,5,5,7,3,2,0
0,22,1,1,25,25,3,7,3,2,0,2,1
0,55,2,1,30,30,1,1,5,7,4,2,0
0,20,2,4,300,1200,1,1,6,6,0,0,0
0,40,0,3,500,1500,1,1,9,11,2,1,0
1,54,2,3,300,900,5,2,8,5,3,1,0
0,54,2,2,500,1000,1,1,4,1,3,1,0
0,27,0,3,25,75,4,4,1,8,1,1,0
1,27,0,3,25,75,1,1,10,10,1,1,0
0,36,0,1,300,300,3,7,7,3,2,2,1
1,34,2,2,50,100,4,4,5,7,1,1,0
0,38,2,3,500,1500,0,5,3,2,2,1,0
1,31,0,4,30,120,5,2,10,10,1,0,0
0,26,1,3,300,900,6,3,8,5,1,1,0
0,63,0,1,30,30,2,6,9,11,4,2,1
1,18,1,4,300,1200,1,1,9,11,0,0,0
1,62,1,1,50,50,6,3,5,7,4,2,0
1,30,0,3,50,150,1,1,10,10,1,1,0
1,21,0,4,50,200,3,7,0,4,0,0,1
1,18,0,2,50,100,6,3,2,12,0,1,0
1,57,2,2,25,50,3,7,3,2,4,1,1
1,49,1,4,25,100,5,2,4,1,3,0,0
1,51,2,4,500,2000,5,2,2,12,3,0,0
0,45,2,1,30,30,4,4,0,4,3,2,0
0,48,0,4,300,1200,1,1,8,5,3,0,0
1,25,2,1,300,300,0,5,3,2,1,2,0
0,56,0,3,25,75,3,7,0,4,4,1,1
0,43,1,1,300,300,5,2,3,2,2,2,0
0,51,0,4,25,100,0,5,5,7,3,0,0
0,20,2,4,500,2000,5,2,8,5,0,0,0
1,29,2,3,30,90,1,1,1,8,1,1,0
0,18,0,4,500,2000,6,3,9,11,0,0,0
1,61,0,4,50,200,4,4,5,7,4,0,0
0,22,2,2,50,100,2,6,7,3,0,1,1
0,47,1,2,50,100,3,7,5,7,3,1,1
0,47,1,3,500,1500,2,6,5,7,3,1,1
1,34,0,1,300,300,5,2,0,4,1,2,0
0,64,1,2,30,60,3,7,2,12,4,1,1
1,40,2,1,50,50,6,3,8,5,2,2,0
0,32,0,4,50,200,5,2,2,12,1,0,0
1,54,2,2,50,100,2,6,2,12,3,1,1
0,38,2,3,30,90,5,2,9,11,2,1,0
1,31,1,3,50,150,1,1,3,2,1,1,0
1,19,0,3,30,90,6,3,9,11,0,1,0
0,28,0,2,50,100,6,3,9,11,1,1,0
1,56,1,1,500,500,6,3,7,3,4,2,0
0,55,2,4,500,2000,3,7,10,10,4,0,1
0,51,2,1,30,30,2,6,8,5,3,2,1
0,55,2,1,500,500,2,6,7,3,4,2,1
0,51,2,4,30,120,0,5,1,8,3,0,0
0,35,0,4,500,2000,0,5,5,7,2,0,0
0,47,0,2,500,1000,0,5,8,5,3,1,0
0,32,1,2,30,60,0,5,9,11,1,1,0
0,44,1,2,300,600,5,2,2,12,2,1,0
0,51,0,2,500,1000,0,5,10,10,3,1,0
0,55,0,2,50,100,3,7,0,4,4,1,1
0,50,2,4,300,1200,3,7,2,12,3,0,1
1,41,2,1,30,30,0,5,6,6,2,2,0
1,32,1,2,300,600,3,7,4,1,1,1,1
0,47,0,2,25,50,0,5,0,4,3,1,0
0,59,1,1,25,25,5,2,4,1,4,2,0
0,34,0,2,500,1000,3,7,6,6,1,1,1
0,22,2,1,500,500,5,2,5,7,0,2,0
0,46,1,1,50,50,4,4,8,5,3,2,0
0,21,1,4,300,1200,0,5,3,2,0,0,0
0,27,0,3,25,75,6,3,0,4,1,1,0
0,34,2,4,500,2000,6,3,10,10,1,0,0
1,27,1,3,300,900,3,7,6,6,1,1,1
0,34,2,3,500,1500,6,3,0,4,1,1,0
1,37,1,3,500,1500,2,6,2,12,2,1,1
0,41,2,2,25,50,6,3,11,9,2,1,0
0,22,0,4,25,100,2,6,5,7,0,0,1
1,51,1,3,500,1500,3,7,9,11,3,1,1
0,23,1,1,30,30,6,3,1,8,0,2,0
1,19,2,2,500,1000,6,3,7,3,0,1,0
0,30,2,4,500,2000,5,2,8,5,1,0,0
0,60,1,3,50,150,1,1,7,3,4,1,0
1,60,0,1,50,50,3,7,8,5,4,2,1
0,28,2,4,50,200,3,7,10,10,1,0,1
1,64,2,4,30,120,5,2,10,10,4,0,0
0,40,2,2,30,60,1,1,8,5,2,1,0
1,33,1,4,500,2000,0,5,10,10,1,0,0
1,48,1,2,50,100,5,2,1,8,3,1,0
0,28,1,3,30,90,4,4,10,10,1,1,0
0,33,1,2,25,50,1,1,5,7,1,1,0
